salinity,sediment,root,f,jar_no,jar_notnum,plant_no,shoot_length,width,root_length,necrosis,leaves,new_shoots,shoot_weight,root_weight
A,Intact,Disrupted,S+R-,9,Jar9,b,11.8,2,5.9,5,2,0,0.028,0.201
A,Intact,Disrupted,S+R-,10,Jar10,b,10.5,3,8,5,2,0,0.0349,0.1866
A,Intact,Disrupted,S+R-,12,Jar12,b,12.5,3,6.2,25,2,0,0.0249,0.1792
A,Intact,Disrupted,S+R-,11,Jar11,a,13.5,2,5.4,25,1,0,0.0204,0.1662
A,Intact,Disrupted,S+R-,12,Jar12,a,12,3,5.5,5,3,1,0.0213,0.1652
A,Intact,Disrupted,S+R-,10,Jar10,a,13.5,4,8,50,2,1,0.0349,0.1485
A,Intact,Disrupted,S+R-,11,Jar11,b,11.5,4,8,25,4,1,0.0572,0.1471
A,Intact,Disrupted,S+R-,12,Jar12,c,11.9,3,8,5,2,0,0.0376,0.1294
A,Intact,Disrupted,S+R-,11,Jar11,c,13.2,2,5.8,25,2,0,0.028,0.1281
A,Intact,Disrupted,S+R-,8,Jar8,b,11.5,2,8.2,5,2,0,0.0264,0.0922
A,Intact,Disrupted,S+R-,9,Jar9,a,9.9,2,6.5,25,2,0,0.01,0.0671
A,Intact,Disrupted,S+R-,10,Jar10,c,9.9,3,5,25,2,0,0.0303,0.0659
M,Disrupted,Intact,S-R+,51,Jar51,c,11.6,3,5,0,3,0,0.0649,0.3831
M,Disrupted,Intact,S-R+,53,Jar53,b,12.5,3,5.2,50,2,0,0.0351,0.5266
M,Disrupted,Intact,S-R+,56,Jar56,c,5.1,2,6.2,0,1,0,0.0179,0.4126
M,Disrupted,Intact,S-R+,51,Jar51,a,12.9,2,8.3,0,4,0,0.0512,0.3673
M,Disrupted,Intact,S-R+,52,Jar52,c,10.1,3,5,0,3,0,0.0264,0.3581
M,Disrupted,Intact,S-R+,53,Jar53,a,12.1,4,8.3,50,2,0,0.0429,0.3282
M,Disrupted,Intact,S-R+,51,Jar51,b,12.5,2,4.6,5,3,0,0.0474,0.2462
M,Disrupted,Intact,S-R+,55,Jar55,c,11.9,3,7.3,0,3,0,0.0336,0.2441
M,Disrupted,Intact,S-R+,52,Jar52,a,12.6,4,5.1,5,3,0,0.0508,0.2397
M,Disrupted,Intact,S-R+,55,Jar55,b,10.9,3,5.4,5,3,0,0.0287,0.2335
M,Disrupted,Intact,S-R+,52,Jar52,b,11,3,6.1,25,2,0,0.0472,0.1742
M,Disrupted,Intact,S-R+,56,Jar56,a,10.6,3,6.4,5,2,0,0.0216,0.1735
M,Disrupted,Intact,S-R+,54,Jar54,a,10.9,3,6.2,5,2,0,0.0213,0.1286
M,Disrupted,Intact,S-R+,53,Jar53,c,12,3,5.7,25,2,0,0.0306,0.0903
M,Disrupted,Intact,S-R+,56,Jar56,b,11.4,3,3,0,2,0,0.0312,0.0834
M,Disrupted,Intact,S-R+,54,Jar54,b,8.5,3,5.6,25,1,0,0.0302,0.064
M,Disrupted,Intact,S-R+,55,Jar55,a,10.1,3,4.9,5,2,0,0.0193,0.0302
M,Intact,Intact,S+R+,42,Jar42,c,11.8,3,6.5,5,3,0,0.032,0.7391
M,Intact,Intact,S+R+,43,Jar43,b,2.1,3,6.3,0,3,0,0.0196,0.3011
M,Intact,Intact,S+R+,43,Jar43,c,8.6,3,5.9,0,3,0,0.037,0.1984
M,Intact,Intact,S+R+,42,Jar42,a,13.3,3,4.4,0,2,0,0.0305,0.1846
M,Intact,Intact,S+R+,39,Jar39,b,12.6,4,4,0,3,0,0.0252,0.175
M,Intact,Intact,S+R+,42,Jar42,b,13.5,3,5.6,50,3,0,0.0321,0.1698
M,Intact,Intact,S+R+,41,Jar41,c,6.5,2,7.6,5,2,0,0.0094,0.1634
M,Intact,Intact,S+R+,41,Jar41,a,10.5,3,4.9,0,2,0,0.0742,0.1177
M,Intact,Intact,S+R+,39,Jar39,a,10.9,3,6.9,25,3,0,0.0262,0.1016
M,Intact,Intact,S+R+,41,Jar41,b,11,3,5.2,0,1,0,0.0135,0.0846
M,Intact,Intact,S+R+,40,Jar40,a,13.2,4,4.9,50,2,0,0.0212,0.0735
M,Intact,Intact,S+R+,43,Jar43,a,7.8,4,4.7,0,2,0,0.031,0.0704
